347	29530,15502,23776,35282,4195,39144,22578,21757,11162,35288,4490,50624,44987,2514,38479,11841,44288,26443,31180,46346,11692,9265,3034,8225,12186,42093,11789,22400,3433,8731,35168,52005,10243,49705,875,45330,49985,303,41172,53242,39519,2831,38238,44813,20777,13294,2125,3274,6895,3374,12387,52862,53493,45417,2360,20219,13086,38065,33544,36990,636,25730,12525,7683,33863,33042,38808,6042,54798,30198,27357,38168,16120,49572,34840,13982,20472,1196,15015,51801,55277,33059,22000,45939,47572,38962,14332,20722,21730,24944,55295,44616,49028,33021,2298,47496,38627,18465,2277,39605
1071	18943,34940,47612,3846,25843,1807,258,5084,17876,406,3939,22331,3181,48508,44779,16442,50346,55260,35378,41620,28887,11315,34243,10833,48924,8392,13511,9760,18515,3710,3382,23458,53223,7090,50703,55076,31149,26687,18695,15386,45567,2428,21798,24469,29076,10824,54609,21363,30486,1438,27014,14367,11514,17476,17065,36502,19278,4957,51774,20632,17277,6314,24610,37882,18440,18522,54928,42502,19652,37555,49320,39618,52214,300,12568,25504,54965,6742,55157,27097,38766,54350,18155,44180,38459,52651,50591,45416,12032,22539,24101,35739,9169,253,53657,18929,2424,43293,31750,13962
1475	42584,35563,43726,30235,27299,26508,28464,35994,24619,32745,21178,45644,4458,49019,28602,33070,11804,6808,29158,35447,46716,26692,48883,45830,7676,21653,35358,21034,37771,35071,25784,38945,7874,9418,49077,12469,18363,22944,23315,3852,15364,8056,15750,36258,19137,51036,44069,47903,29672,7481,42196,23682,34133,29523,53125,39410,46991,34448,10457,9739,41904,21834,24089,52280,27988,54018,52721,51780,32456,40701,26901,42192,2032,20987,32535,4810,11757,55168,48815,20233,8802,50876,36948,7473,52556,7318,29761,27436,55052,13003,24701,29124,16892,46086,7286,45166,49958,10967,48824,22675
671	16010,23298,8833,18961,21603,36767,4110,35176,4267,42853,37081,39499,8708,12489,9713,16956,44158,9598,33902,1047,10320,29561,21312,3797,19281,33195,17501,50194,25520,18724,44572,38315,43697,5420,14339,53069,29733,7753,41857,43566,53325,9081,12350,38207,16167,4881,7219,25053,11042,21663,21401,50272,19460,32305,47373,23674,31176,33424,14276,52848,3466,18249,36982,50133,53852,53831,40694,8203,18778,30799,48295,49659,33338,48228,44890,28292,20751,34334,24856,47691,35253,7761,42443,34384,37189,47655,24270,12058,42901,908,11314,32055,3716,36207,16354,41254,43996,26184,10082,6067
327	42269,18241,32345,21796,42234,28833,35676,8616,20738,22226,1074,49105,19934,1114,33527,31189,35064,12285,30073,39727,52751,10746,25479,2317,3877,50900,41708,523,46141,15918,41842,41250,11967,18866,28361,54334,34830,12497,50520,43937,13712,16541,18027,37524,3027,2265,10835,50023,13346,52914,43302,20284,33326,42056,16575,52138,33657,35161,720,20272,5056,19691,22843,39343,42496,53717,54919,1579,895,715,31815,32189,11409,50237,46641,27147,30122,996,10593,20328,41610,46180,48667,13761,35467,9612,42478,50461,27845,22033,21929,29701,14147,13549,28104,47514,38563,34633,12667,28219
888	41399,20113,43317,6321,43017,10014,15706,17533,37895,12850,51385,16303,5864,616,34580,37980,1302,39396,8987,36435,28412,51142,29327,520,54324,24270,44404,39112,20367,50980,3185,48294,22322,28481,16973,42790,6546,28407,14604,52802,9475,12005,38222,13057,32768,31835,43190,5708,40354,14060,34410,20060,15932,686,46318,3363,52758,2311,10996,1180,20898,38296,22444,31680,38216,23360,23383,53646,23502,34840,3344,25804,2257,52704,39114,44796,19615,22772,50702,18640,7196,31857,46056,22246,31494,4473,55101,36563,46134,14312,8628,10514,49724,25935,13886,20328,25445,16740,48474,10358
534	29756,5209,15188,17290,40292,51044,20058,19269,11657,30328,41611,20731,45312,5592,47824,29825,10172,2944,41840,27207,31445,8014,51271,22314,47235,31713,1116,34255,27586,48583,21811,4927,50830,44169,40833,5891,30802,22630,27518,15207,389,36400,40453,51588,39985,18796,53600,25014,38963,29090,21838,12426,49851,28976,26653,3803,31245,23964,42924,46595,11459,49420,23011,53706,27937,5912,1082,29430,35722,286,7035,9496,54607,31595,2253,37398,38270,11285,13834,10595,25089,18121,27050,34845,3117,12330,18550,34111,15235,19446,31618,23709,10653,41185,35084,11532,25199,28835,5127,45793
479	25534,25685,53672,35378,47355,46924,36324,49338,43980,5730,7132,45681,19201,11775,36302,36144,45984,46014,2147,20567,29023,44974,26176,7741,1513,40063,30876,2174,4351,20209,1160,4024,36019,2103,8931,35035,25311,32976,41188,12749,54251,5893,38735,43040,42367,24354,6963,9299,5284,44297,54892,52770,27113,5076,38509,42259,28227,48033,22280,31309,28041,41573,3235,25151,55149,6464,41255,26665,14655,28099,52536,54412,2054,135,23541,35405,54428,4251,11344,38008,40387,43042,32362,53196,21557,51363,23735,2635,26370,25606,8771,2256,33296,50196,20199,46657,31013,41981,50802,5266
1320	44386,40192,10908,50971,47576,18871,40120,52439,12176,48827,34532,12414,52074,40370,45555,19260,2423,16321,16394,29326,49024,33792,19749,16754,52630,54933,46274,6109,5458,25805,40820,47152,276,34852,23919,2124,39732,40378,42694,36065,21070,36881,43528,39980,21062,36219,27234,31313,34784,33999,7525,11383,11741,22993,31903,41063,33600,29291,29736,5814,32758,3754,48567,45673,50958,3239,38386,40103,32082,26041,4538,30682,53810,3390,46048,330,15489,35826,1226,28101,26399,54706,24151,52165,26874,35345,32513,25646,45597,48644,25055,6613,20066,5023,38647,24127,43398,44843,54673,48444
1511	13393,20407,50103,45686,14706,20235,29446,36392,24593,37180,36451,36972,11554,37364,41434,24494,7577,37576,52781,46112,21814,22099,38740,5351,8865,39830,27272,1771,22538,42901,3442,32222,44068,50829,45162,48483,364,23813,4314,18077,736,41704,41853,45197,12959,40163,43715,55346,8129,20482,50652,40214,10878,33381,7101,45514,49221,45320,2544,13915,3922,33864,3102,3676,24014,55330,14598,30089,47831,21587,46169,6884,7176,31907,36625,5281,26724,48189,42317,32415,44164,29471,7523,4560,4470,6594,32762,31636,54763,32420,8494,44824,11154,33156,3858,30831,32218,41451,34121,21012
